"","monthly.returns"
"1",-0.00846432889963733
"2",-0.0048780487804877
"3",0.0649509803921569
"4",-0.0241657077100114
"5",-0.0754716981132076
"6",0.0778061224489794
"7",-0.0355029585798815
"8",0
"9",-0.111656441717791
"10",0.104972375690608
"11",-0.1175
"12",0.0580736543909348
"13",0.0240963855421688
"14",0.0823529411764705
"15",0
"16",0.0845410628019325
"17",0.0300668151447661
"18",-0.0367567567567567
"19",0.0359147025813693
"20",-0.131094257854821
"21",0.0511221945137157
"22",-0.0130486358244365
"23",0.0516826923076923
"24",0.156571428571429
"25",0.186758893280633
"26",-0.000832639467110763
"27",-0.103333333333333
"28",0.025092936802974
"29",0.0861287398005441
"30",-0.17779632721202
"31",-0.033502538071066
"32",-0.00630252100840323
"33",-0.0348837209302325
"34",0.00876232201533411
"35",-0.0488599348534203
"36",-0.0833333333333334
"37",-0.0809464508094645
"38",-0.0894308943089431
"39",0.203869047619048
"40",-0.0234857849196538
"41",0.0822784810126582
"42",-0.0327485380116961
"43",0.197097944377267
"44",-0.0787878787878789
"45",0.00657894736842102
"46",0.0239651416122004
"47",0.159574468085106
"48",0.275229357798165
"49",-0.0561151079136691
"50",-0.0282012195121951
"51",0.083921568627451
"52",0.0564399421128798
"53",-0.0171232876712328
"54",0.0118466898954703
"55",-0.0234159779614325
"56",-0.0267983074753173
"57",-0.077536231884058
"58",0.0738413197172034
"59",0.102414045354791
"60",0.621101526211015
